,objectid,fod_id,fpa_id,fire_year,discovery_date,discovery_doy,stat_cause_code,stat_cause_descr,fire_size,fire_size_class,latitude,longitude,state,Month,Temp,WindSpd,WindGust,Humidity,Precipitation
1741326,1741327,300080000.0,SFO-2014NCNCSNCST-802-20140006,2014,2014-02-06,37,2,Equipment Use,0.5,B,35.69173333,-75.88668333,NC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1776306,1776307,300128000.0,SFO-2014ALAFC51073,2014,2014-04-09,99,9,Miscellaneous,1.0,B,32.05211,-87.700014,AL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1731445,1731446,300015000.0,W-673365,2014,2014-04-20,110,8,Children,6.0,B,47.8772,-95.0525,MN,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1740016,1740017,300078000.0,SFO-2014TXTXS2338,2014,2014-05-17,137,11,Powerline,2.0,B,31.0559,-94.13061667,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1756724,1756725,300099000.0,SFO-2014TNTNS14-H0224,2014,2014-04-25,115,5,Debris Burning,3.0,B,36.5505,-87.252333,TN,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1755454,1755455,300098000.0,SFO-2014PAPAS07(14)1-012,2014,2014-04-10,100,5,Debris Burning,1.0,B,40.83397,-76.87602,PA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1765603,1765604,300109000.0,SFO-2014TXLFDX529816,2014,2014-08-10,222,5,Debris Burning,10.0,C,32.903803,-98.266525,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1877365,1877366,300333000.0,2014CAIRS24083460,2014,2014-03-14,73,5,Debris Burning,0.1,A,40.57385,-120.7087,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1778959,1778960,300133000.0,SFO-2014NY5712NY5712-2014-50005,2014,2014-05-19,139,9,Miscellaneous,0.1,A,43.2579,-73.8048,NY,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1785562,1785563,300145000.0,SFO-2014TXLFDX532846,2014,2014-10-29,302,9,Miscellaneous,0.3,B,34.574146999999996,-101.792793,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1761970,1761971,300105000.0,SFO-2014KYKYS12920149030,2014,2014-07-07,188,5,Debris Burning,1.0,B,37.51556,-83.602982,KY,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1765105,1765106,300109000.0,SFO-2014TXLFDX531332,2014,2014-03-21,80,5,Debris Burning,80.0,C,33.160084000000005,-102.049708,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1773750,1773751,300120000.0,SFO-2014ALAFC50031,2014,2014-01-18,18,9,Miscellaneous,0.1,A,32.308861,-86.196292,AL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1726267,1726268,300004000.0,FS-1525064,2014,2014-08-18,230,9,Miscellaneous,4045.0,F,35.72611111,-118.47916667,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1740202,1740203,300078000.0,SFO-2014ORODF20145810522015,2014,2014-09-11,254,11,Powerline,0.1,A,45.26806,-122.51778,OR,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1787618,1787619,300148000.0,SFO-2014AZAZS-AZ-141204,2014,2014-06-27,178,13,Missing/Undefined,0.1,A,33.3484,-112.715,AZ,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1730419,1730420,300012000.0,W-668869,2014,2014-07-05,186,1,Lightning,0.2,A,40.2194,-108.4478,CO,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1748165,1748166,300089000.0,SFO-2014NHDFLWF-14-058,2014,2014-05-11,131,4,Campfire,0.4,B,43.4093833,-71.2518633,NH,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
